Date,^GDAXI,^GSPC,^N225
2019-09-05,12126.7802734375,2976.0,21085.939453125
2019-09-06,12191.73046875,2978.7099609375,21199.5703125
2019-09-09,12226.099609375,2978.429931640625,21318.419921875
2019-09-10,12268.7099609375,2979.389892578125,21392.099609375
2019-09-11,12359.0703125,3000.929931640625,21597.759765625
2019-09-12,12410.25,3009.570068359375,21759.609375
2019-09-13,12468.5302734375,3007.389892578125,21988.2890625
2019-09-16,12380.3095703125,2997.9599609375,
2019-09-17,12372.6103515625,3005.699951171875,22001.3203125
2019-09-18,12389.6201171875,3006.72998046875,21960.7109375
2019-09-19,12457.7001953125,3006.7900390625,22044.44921875
2019-09-20,12468.009765625,2992.070068359375,22079.08984375
2019-09-23,12342.330078125,2991.780029296875,
2019-09-24,12307.150390625,2966.60009765625,22098.83984375
2019-09-25,12234.1796875,2984.8701171875,22020.150390625
2019-09-26,12288.5400390625,2977.6201171875,22048.240234375
2019-09-27,12380.9404296875,2961.7900390625,21878.900390625
2019-09-30,12428.080078125,2976.739990234375,21755.83984375
2019-10-01,12263.830078125,2940.25,21885.240234375
2019-10-02,11925.25,2887.610107421875,21778.609375
2019-10-03,,2910.6298828125,21341.740234375
2019-10-04,12012.8095703125,2952.010009765625,21410.19921875
2019-10-07,12097.4296875,2938.7900390625,21375.25
2019-10-08,11970.2001953125,2893.06005859375,21587.779296875
2019-10-09,12094.259765625,2919.39990234375,21456.380859375
2019-10-10,12164.2001953125,2938.1298828125,21551.98046875
2019-10-11,12511.650390625,2970.27001953125,21798.869140625
2019-10-14,12486.5595703125,2966.14990234375,
2019-10-15,12629.7900390625,2995.679931640625,22207.2109375
2019-10-16,12670.1103515625,2989.68994140625,22472.919921875
2019-10-17,12654.9501953125,2997.949951171875,22451.859375
2019-10-18,12633.599609375,2986.199951171875,22492.6796875
2019-10-21,12747.9599609375,3006.719970703125,22548.900390625
2019-10-22,12754.6904296875,2995.989990234375,
2019-10-23,12798.1904296875,3004.52001953125,22625.380859375
2019-10-24,12872.099609375,3010.2900390625,22750.599609375
2019-10-25,12894.509765625,3022.550048828125,22799.810546875
2019-10-28,12941.7099609375,3039.419921875,22867.26953125
2019-10-29,12939.6201171875,3036.889892578125,22974.130859375
2019-10-30,12910.23046875,3046.77001953125,22843.119140625
2019-10-31,12866.7900390625,3037.56005859375,22927.0390625
2019-11-01,12961.0498046875,3066.909912109375,22850.76953125
2019-11-04,13136.2802734375,3078.27001953125,
2019-11-05,13148.5,3074.6201171875,23251.990234375
2019-11-06,13179.8896484375,3076.780029296875,23303.8203125
2019-11-07,13289.4599609375,3085.179931640625,23330.3203125
2019-11-08,13228.5595703125,3093.080078125,23391.869140625
2019-11-11,13198.3701171875,3087.010009765625,23331.83984375
2019-11-12,13283.509765625,3091.840087890625,23520.009765625
2019-11-13,13230.0703125,3094.0400390625,23319.869140625
2019-11-14,13180.23046875,3096.6298828125,23141.55078125
2019-11-15,13241.75,3120.4599609375,23303.3203125
2019-11-18,13207.009765625,3122.030029296875,23416.759765625
2019-11-19,13221.1201171875,3120.179931640625,23292.650390625
2019-11-20,13158.1396484375,3108.4599609375,23148.5703125
2019-11-21,13137.7001953125,3103.5400390625,23038.580078125
2019-11-22,13163.8798828125,3110.2900390625,23112.880859375
2019-11-25,13246.4501953125,3133.639892578125,23292.810546875
2019-11-26,13236.419921875,3140.52001953125,23373.3203125
2019-11-27,13287.0703125,3153.6298828125,23437.76953125
2019-11-28,13245.580078125,,23409.140625
2019-11-29,13236.3798828125,3140.97998046875,23293.91015625
2019-12-02,12964.6796875,3113.8701171875,23529.5
2019-12-03,12989.2900390625,3093.199951171875,23379.810546875
2019-12-04,13140.5703125,3112.760009765625,23135.23046875
2019-12-05,13054.7998046875,3117.429931640625,23300.08984375
2019-12-06,13166.580078125,3145.909912109375,23354.400390625
2019-12-09,13105.6103515625,3135.9599609375,23430.69921875
2019-12-10,13070.7197265625,3132.52001953125,23410.189453125
2019-12-11,13146.740234375,3141.6298828125,23391.859375
2019-12-12,13221.6396484375,3168.570068359375,23424.810546875
2019-12-13,13282.7197265625,3168.800048828125,24023.099609375
2019-12-16,13407.66015625,3191.449951171875,23952.349609375
2019-12-17,13287.830078125,3192.52001953125,24066.119140625
2019-12-18,13222.16015625,3191.139892578125,23934.4296875
2019-12-19,13211.9599609375,3205.3701171875,23864.849609375
2019-12-20,13318.900390625,3221.219970703125,23816.630859375
2019-12-23,13300.98046875,3224.010009765625,23821.109375
2019-12-24,,3223.3798828125,23830.580078125
2019-12-25,,,23782.869140625
2019-12-26,,3239.909912109375,23924.919921875
2019-12-27,13337.1103515625,3240.02001953125,23837.720703125
2019-12-30,13249.009765625,3221.2900390625,23656.619140625
2019-12-31,,3230.780029296875,
2020-01-02,13385.9296875,3257.85009765625,
2020-01-03,13219.1396484375,3234.85009765625,
2020-01-06,13126.990234375,3246.280029296875,23204.859375
2020-01-07,13226.830078125,3237.179931640625,23575.720703125
2020-01-08,13320.1796875,3253.050048828125,23204.759765625
2020-01-09,13495.0595703125,3274.699951171875,23739.869140625
2020-01-10,13483.3095703125,3265.35009765625,23850.5703125
2020-01-13,13451.51953125,3288.1298828125,
2020-01-14,13456.490234375,3283.14990234375,24025.169921875
2020-01-15,13432.2998046875,3289.2900390625,23916.580078125
2020-01-16,13429.4296875,3316.81005859375,23933.130859375
2020-01-17,13526.1298828125,3329.6201171875,24041.259765625
2020-01-20,13548.9404296875,,24083.509765625
2020-01-21,13555.8701171875,3320.7900390625,23864.560546875
2020-01-22,13515.75,3321.75,24031.349609375
2020-01-23,13388.419921875,3325.5400390625,23795.439453125
2020-01-24,13576.6796875,3295.469970703125,23827.1796875
2020-01-27,13204.76953125,3243.6298828125,23343.509765625
2020-01-28,13323.6904296875,3276.239990234375,23215.7109375
2020-01-29,13345.0,3273.39990234375,23379.400390625
2020-01-30,13157.1201171875,3283.659912109375,22977.75
2020-01-31,12981.9697265625,3225.52001953125,23205.1796875
2020-02-03,13045.1904296875,3248.919921875,22971.939453125
2020-02-04,13281.740234375,3297.590087890625,23084.58984375
2020-02-05,13478.330078125,3334.68994140625,23319.560546875
2020-02-06,13574.8203125,3345.780029296875,23873.58984375
2020-02-07,13513.8095703125,3327.7099609375,23827.98046875
2020-02-10,13494.0302734375,3352.090087890625,23685.98046875
2020-02-11,13627.83984375,3357.75,
2020-02-12,13749.7802734375,3379.449951171875,23861.2109375
2020-02-13,13745.4296875,3373.93994140625,23827.73046875
2020-02-14,13744.2099609375,3380.159912109375,23687.58984375
2020-02-17,13783.8896484375,,23523.240234375
2020-02-18,13681.1904296875,3370.2900390625,23193.80078125
2020-02-19,13789.0,3386.14990234375,23400.69921875
2020-02-20,13664.0,3373.22998046875,23479.150390625
2020-02-21,13579.330078125,3337.75,23386.740234375
2020-02-24,13035.240234375,3225.889892578125,
2020-02-25,12790.490234375,3128.2099609375,22605.41015625
2020-02-26,12774.8798828125,3116.389892578125,22426.189453125
2020-02-27,12367.4599609375,2978.760009765625,21948.23046875
2020-02-28,11890.349609375,2954.219970703125,21142.9609375
2020-03-02,11857.8701171875,3090.22998046875,21344.080078125
2020-03-03,11985.3896484375,3003.3701171875,21082.73046875
2020-03-04,12127.6904296875,3130.1201171875,21100.060546875
2020-03-05,11944.7197265625,3023.93994140625,21329.119140625
2020-03-06,11541.8701171875,2972.3701171875,20749.75
2020-03-09,10625.01953125,2746.56005859375,19698.759765625
2020-03-10,10475.490234375,2882.22998046875,19867.119140625
2020-03-11,10438.6796875,2741.3798828125,19416.060546875
2020-03-12,9161.1298828125,2480.639892578125,18559.630859375
2020-03-13,9232.080078125,2711.02001953125,17431.05078125
2020-03-16,8742.25,2386.1298828125,17002.0390625
2020-03-17,8939.099609375,2529.18994140625,17011.529296875
2020-03-18,8441.7099609375,2398.10009765625,16726.55078125
2020-03-19,8610.4296875,2409.389892578125,16552.830078125
2020-03-20,8928.9501953125,2304.919921875,
2020-03-23,8741.150390625,2237.39990234375,16887.779296875
2020-03-24,9700.5703125,2447.330078125,18092.349609375
2020-03-25,9874.259765625,2475.56005859375,19546.630859375
2020-03-26,10000.9599609375,2630.070068359375,18664.599609375
2020-03-27,9632.51953125,2541.469970703125,19389.4296875
2020-03-30,9815.9697265625,2626.64990234375,19084.970703125
2020-03-31,9935.83984375,2584.590087890625,18917.009765625
2020-04-01,9544.75,2470.5,18065.41015625
2020-04-02,9570.8203125,2526.89990234375,17818.720703125
2020-04-03,9525.76953125,2488.64990234375,17820.189453125
2020-04-06,10075.169921875,2663.679931640625,18576.30078125
2020-04-07,10356.7001953125,2659.409912109375,18950.1796875
2020-04-08,10332.8896484375,2749.97998046875,19353.240234375
2020-04-09,10564.740234375,2789.820068359375,19345.76953125
2020-04-10,,,19498.5
2020-04-13,,2761.6298828125,19043.400390625
2020-04-14,10696.5595703125,2846.06005859375,19638.810546875
2020-04-15,10279.759765625,2783.360107421875,19550.08984375
2020-04-16,10301.5400390625,2799.550048828125,19290.19921875
2020-04-17,10625.7802734375,2874.56005859375,19897.259765625
2020-04-20,10675.900390625,2823.159912109375,19669.119140625
2020-04-21,10249.849609375,2736.56005859375,19280.779296875
2020-04-22,10415.0302734375,2799.31005859375,19137.94921875
2020-04-23,10513.7900390625,2797.800048828125,19429.439453125
2020-04-24,10336.08984375,2836.739990234375,19262.0
2020-04-27,10659.990234375,2878.47998046875,19783.220703125
2020-04-28,10795.6298828125,2863.389892578125,19771.189453125
2020-04-29,11107.740234375,2939.510009765625,
2020-04-30,10861.6396484375,2912.429931640625,20193.689453125
2020-05-01,,2830.7099609375,19619.349609375
2020-05-04,10466.7998046875,2842.739990234375,
2020-05-05,10729.4599609375,2868.43994140625,
2020-05-06,10606.2001953125,2848.419921875,
2020-05-07,10759.26953125,2881.18994140625,19674.76953125
2020-05-08,10904.48046875,2929.800048828125,20179.08984375
2020-05-11,10824.990234375,2930.18994140625,20390.66015625
2020-05-12,10819.5,2870.1201171875,20366.48046875
2020-05-13,10542.66015625,2820.0,20267.05078125
2020-05-14,10337.01953125,2852.5,19914.779296875
2020-05-15,10465.169921875,2863.699951171875,20037.470703125
2020-05-18,11058.8701171875,2953.909912109375,20133.73046875
